reference	Nr	PlantNaam	Licht	Vochtigheid	Plantdichtheid	Habitat	Kleur	Hooghte	bladhooghte	bloei	
1622883620-13967	2927	Eucomis comosa 'Sparkling Burgundy'	zon              	fris             afdekken    	aantal  : 5 tot 7 per m2  - in kleine groepjes van 3 tot 10 stuks (B)  - groepen van 10 tot 24 stuks (C)	Gemengde boord met frisse bodem (GB2)          extra informatie               snijbloem	roze    	 50 cm  	    25 cm  	    25 cm  	  6- 9
1622881087-8794	2928	Pimpinella major 'Rosea'	zon   half schaduw             	fris vochtig                	aantal  : 7 tot 10 per m2	Bosrand met frisse bodem (BR2)     Bosrand met vochtige bodem (BR3)     Open plaatsen met frisse bodem (OP2)     Open plaatsen met frisse bodem (OP2B)     Open plaatsen met vochtige bodem (OP3)     Open plaatsen met vochtige bodem (OP3B)          extra informatie	roze    	 60 cm  	    40 cm  	    40 cm  	  6- 8
1622880265-7095	2929	Liriope spicata	half schaduw  schaduw             	droog fris                	aantal  : 8 tot 12 per m2	Bos en onder bomen met droge bodem (B1)     Bos en onder bomen met frisse bodem (B2)     Bosrand met droge bodem (BR1)     Bosrand met frisse bodem (BR2)          extra informatie               bladhoudend  macho                                                                                            New	lila    	 35 cm  	    25 cm  	    25 cm  	  7- 9
1622880224-7024	2930	Fargesia scabrida 'Asian Wonder' 40/60	half schaduw  schaduw             	fris vochtig                	aantal  : 1 tot 1 per m2  - alleen of in kleine toefen (A)	Bos en onder bomen met frisse bodem (B2)     Bos en onder bomen  met vochtige bodem (B3)     Bosrand met frisse bodem (BR2)     Bosrand met vochtige bodem (BR3)     Gemengde boord met frisse bodem (GB2)          extra informatie               bladhoudend	groen    	400 cm  	   300 cm  	   300 cm  	  0- 0
1622882413-11319	2931	Filipendula ulmaria	zon   half schaduw             	vochtig                	aantal  : 3 tot 5 per m2  - alleen of in kleine toefen (A)  - groepen van 10 tot 24 stuks (C)	moeraszone (O4)     Open plaatsen met vochtige bodem (OP3)          extra informatie       Sterk uitzaaiend         Aromatisch   snijbloem  bijenplant	wit    	150 cm  	    60 cm  	    60 cm  	  6- 9
1622880229-7030	2932	Oenothera speciosa 'Siskiyou'	zon              	fris             afdekken    	aantal  : 8 tot 12 per m2  - in kleine groepjes van 3 tot 10 stuks (B)	Open plaatsen met frisse bodem (OP2B)          extra informatie       Licht woekerend         bodembedekker  Aromatisch   bijenplant	roze    	 30 cm  	    25 cm  	    25 cm  	  6-10
1622880058-6591	2933	Echium vulgare	zon              	droog                	aantal  : 5 tot 7 per m2  - in kleine groepjes van 3 tot 10 stuks (B)  - groepen van 10 tot 24 stuks (C)	Open plaatsen met droge bodem (OP1)     Open plaatsen met frisse bodem (OP2)          extra informatie       Licht uitzaaiend         snijbloem  vlinderplant nectar  bijenplant	blauw    	 90 cm  	    40 cm  	    40 cm  	  5- 8
1622880023-6515	2934	Centaurea scabiosa	zon              	droog fris                	aantal  : 6 tot 9 per m2  - in kleine groepjes van 3 tot 10 stuks (B)  - groepen van 10 tot 24 stuks (C)	Bosrand met droge bodem (BR1)     Bosrand met frisse bodem (BR2)     Open plaatsen met droge bodem (OP1)     Open plaatsen met frisse bodem (OP2)          extra informatie       Uitzaaiend         snijbloem  bijenplant	roze    	100 cm  	    30 cm  	    30 cm  	  6-10
1622882594-11726	2935	Verbena rigida	zon              	droog             afdekken    	aantal  : 6 tot 9 per m2  - in kleine groepjes van 3 tot 10 stuks (B)  - groepen van 10 tot 24 stuks (C)	Open plaatsen met droge bodem (OP1)          extra informatie               vlinderplant nectar	violet    	 30 cm  	    20 cm  	    20 cm  	  7-10
1622880209-6988	2936	Phlomis pratensis	zon              	droog                	aantal  : 5 tot 7 per m2  - in kleine groepjes van 3 tot 10 stuks (B)  - groepen van 10 tot 24 stuks (C)	Bosrand met droge bodem (BR1)     Open plaatsen met droge bodem (OP1)     Open plaatsen met droge bodem (OP1B)          extra informatie               snijbloem  bijenplant                                                                                                JS                                  New	roze    	 50 cm  	    30 cm  	    30 cm  	  6- 7
1622881356-9292	2937	Geranium cantabrigiense (x) 'Karmina'	zon              	droog fris                	aantal  : 8 tot 12 per m2	Bosrand met droge bodem (BR1)     Bosrand met frisse bodem (BR2)     Gemengde boord met droge bodem (GB1)     Gemengde boord met frisse bodem (GB2)     Frisse bodem met grind (GR2)          extra informatie               bladhoudend  bodembedekker  macho	roze    	 25 cm  	    20 cm  	    20 cm  	  5- 6
1622881651-9914	2938	Chelonopsis moschata	zon   half schaduw             	fris             afdekken    	aantal  : 6 tot 9 per m2  - in kleine groepjes van 3 tot 10 stuks (B)  - groepen van 10 tot 24 stuks (C)	Bosrand met frisse bodem (BR2)     Open plaatsen met frisse bodem (OP2)          extra informatie	roze    	 50 cm  	    40 cm  	    40 cm  	  8-10
1622884670-16413	2939	Echinacea purpurea JS® 'White Prairie'	zon              	fris                	aantal  : 8 tot 12 per m2  - in kleine groepjes van 3 tot 10 stuks (B)	Gemengde boord met frisse bodem (GB2)     Open plaatsen met frisse bodem (OP2)     Open plaatsen met frisse bodem (OP2B)          extra informatie               snijbloem  vlinderplant nectar  bijenplant                                                                                                JS	wit    	100 cm  	    40 cm  	    40 cm  	  7- 9
1622880848-8308	2940	Lavatera 'Candy Floss'	zon              	droog fris             afdekken    	aantal  : 1 tot 3 per m2  - alleen of in kleine toefen (A)	Gemengde boord met droge bodem (GB1)     Gemengde boord met frisse bodem (GB2)     Open plaatsen met droge bodem (OP1B)     Open plaatsen met frisse bodem (OP2B)          extra informatie               bijenplant	roze    	150 cm  	   125 cm  	   125 cm  	  6-10
1622882569-11681	2941	Centaurea montana 'Jordy'	zon              	droog fris                	aantal  : 6 tot 9 per m2  - in kleine groepjes van 3 tot 10 stuks (B)  - groepen van 10 tot 24 stuks (C)	Bosrand met droge bodem (BR1)     Bosrand met frisse bodem (BR2)     Open plaatsen met droge bodem (OP1B)     Open plaatsen met frisse bodem (OP2B)          extra informatie               snijbloem  bijenplant	paars    	 50 cm  	    25 cm  	    25 cm  	  6- 8
1622883230-13047	2942	Dichelostemma ida-maia	zon   half schaduw             	droog fris             afdekken    	DRIFT	Bosrand met droge bodem (BR1)     Gemengde boord met droge bodem (GB1)     Frisse bodem met grind (GR2)     Open plaatsen met droge bodem (OP1B)          extra informatie               snijbloem	rood    	 60 cm  	    30 cm  	    30 cm  	  5- 7
1622884905-16919	2943	Scabiosa columbaria FLUTTER® PURE WHITE	zon              	droog fris                	aantal  : 8 tot 12 per m2  - in kleine groepjes van 3 tot 10 stuks (B)	Open plaatsen met droge bodem (OP1B)     Open plaatsen met frisse bodem (OP2B)     Stenige, droge bodem (ST1)     Stenige, frisse bodem (ST2)          extra informatie               snijbloem  vlinderplant nectar  bijenplant                                                                                                New	wit    	 35 cm  	    15 cm  	    15 cm  	  6- 9
1622884666-16404	2944	Rudbeckia nitida 'Herbstsonne'	zon              	fris vochtig                	aantal  : 3 tot 5 per m2  - alleen of in kleine toefen (A)  - groepen van 10 tot 24 stuks (C)	Gemengde boord met frisse bodem (GB2)     Gemengde boord met vochtige bodem (GB3)     Open plaatsen met frisse bodem (OP2B)     Open plaatsen met vochtige bodem (OP3B)          extra informatie               snijbloem  bijenplant	geel    	200 cm  	   150 cm  	   150 cm  	  7- 9
1622881069-8773	2945	Hosta 'Krossa Regal'	half schaduw             	fris                	aantal  : 3 tot 5 per m2  - alleen of in kleine toefen (A)  - groepen van 10 tot 24 stuks (C)	Bosrand met frisse bodem (BR2)     Gemengde boord met frisse bodem (GB2)          extra informatie               snijbloem	lila    	 80 cm  	    60 cm  	    60 cm  	  7- 8
1622883221-13019	2946	Gypsophila 'Rosenschleier'	zon              	droog fris                	aantal  : 5 tot 7 per m2  - in kleine groepjes van 3 tot 10 stuks (B)  - groepen van 10 tot 24 stuks (C)	Muurbeplanting met droge bodem (M1)     Muurbeplanting met frisse bodem (M2)     Open plaatsen met droge bodem (OP1B)     Open plaatsen met frisse bodem (OP2B)     Stenige, droge bodem (ST1)     Stenige, frisse bodem (ST2)          extra informatie               bodembedekker  snijbloem  bijenplant	roze    	 30 cm  	    10 cm  	    10 cm  	  6- 9
1622880628-7880	2947	Sedum (L) cauticola 'Lidakense'	zon              	droog                	aantal  : 9 tot 15 per m2	Droge bodem met grind (GR1)     Muurbeplanting met droge bodem (M1)     Ondiepe, droge bodem (OB1)     Stenige, droge bodem (ST1)     Steenvoegen met frisse bodem (SV2)          extra informatie               bladhoudend  bodembedekker  vlinderplant nectar  bijenplant	rood    	 15 cm  	    10 cm  	    10 cm  	  7- 9
1622879865-6177	2948	Pennisetum alopecuroides 'Hameln'	zon              	fris                	aantal  : 7 tot 10 per m2	Gemengde boord met frisse bodem (GB2)     Open plaatsen met frisse bodem (OP2B)          extra informatie               bodembedekker  snijbloem  macho	bruin    	 50 cm  	    30 cm  	    30 cm  	  8-10
1622879958-6395	2949	Astilbe arendsii 'Brautschleier'	half schaduw             	fris vochtig                	aantal  : 5 tot 7 per m2  - in kleine groepjes van 3 tot 10 stuks (B)  - groepen van 10 tot 24 stuks (C)	Bos en onder bomen met frisse bodem (B2)     Bos en onder bomen  met vochtige bodem (B3)     Bosrand met frisse bodem (BR2)     Bosrand met vochtige bodem (BR3)     Gemengde boord met frisse bodem (GB2)     Gemengde boord met vochtige bodem (GB3)     Open plaatsen met frisse bodem (OP2B)     Open plaatsen met vochtige bodem (OP3B)          extra informatie               snijbloem	wit    	 80 cm  	    40 cm  	    40 cm  	  6- 8
1622883514-13782	2950	Sagina subulata 'Aurea'	half schaduw             	fris                	15-25CD	Ondiepe, frisse bodem (OB2)     Stenige, frisse bodem (ST2)     Steenvoegen met frisse bodem (SV2)          extra informatie               bladhoudend  bodembedekker	wit    	  5 cm  	     5 cm  	     5 cm  	  5- 8
1622883467-13669	2951	Salvia 'Evening Attire'	zon              	droog                	aantal  : 6 tot 9 per m2  - groepen van 10 tot 24 stuks (C)	Gemengde boord met droge bodem (GB1)     Open plaatsen met droge bodem (OP1B)          extra informatie       Licht uitzaaiend         Aromatisch   snijbloem  vlinderplant nectar                                                                                              New	blauw    	 50 cm  	    25 cm  	    25 cm  	  5- 6
1622882713-11903	2952	Aster novae-angliae JS® 'Guido en Gezelle'	zon              	fris                	aantal  : 2 tot 4 per m2  - alleen of in kleine toefen (A)  - in kleine groepjes van 3 tot 10 stuks (B)	Gemengde boord met frisse bodem (GB2)     Open plaatsen met frisse bodem (OP2B)          extra informatie               snijbloem  vlinderplant nectar  bijenplant                                                                                                JS	violet    	150 cm  	    70 cm  	    70 cm  	 10-11
1622880051-6575	2953	Rosmarinus officinalis 'Capri'	zon              	droog fris             afdekken    	aantal  : 5 tot 7 per m2  - alleen of in kleine toefen (A)  - groepen van 10 tot 24 stuks (C)	Gemengde boord met droge bodem (GB1)     Gemengde boord met frisse bodem (GB2)     Frisse bodem met grind (GR2)          extra informatie               bladhoudend  Aromatisch   bijenplant	lila    	 15 cm  	    15 cm  	    15 cm  	  9-11
1622881457-9536	2954	Paeonia rockii 'Chao zhou hong'	zon              	fris             afdekken    	aantal  : 1 tot 1 per m2  - alleen of in kleine toefen (A)	Gemengde boord met frisse bodem (GB2)     Open plaatsen met frisse bodem (OP2B)          extra informatie               Aromatisch   snijbloem	roze    	150 cm  	   150 cm  	   150 cm  	  5- 6
1622884011-14819	2955	Ruta graveolens (WYNRUIT)	zon              	fris                	aantal  : 6 tot 9 per m2  - alleen of in kleine toefen (A)  - in kleine groepjes van 3 tot 10 stuks (B)	Bosrand met frisse bodem (BR2)     Open plaatsen met frisse bodem (OP2)     Open plaatsen met frisse bodem (OP2B)          extra informatie               bladhoudend  Aromatisch   bijenplant	geel    	 40 cm  	    30 cm  	    30 cm  	  6- 8
1622879600-5628	2956	Polystichum polyblepharum	half schaduw             	fris vochtig                	aantal  : 5 tot 7 per m2  - in kleine groepjes van 3 tot 10 stuks (B)  - groepen van 10 tot 24 stuks (C)	Bos en onder bomen met frisse bodem (B2)     Bos en onder bomen  met vochtige bodem (B3)     Bosrand met frisse bodem (BR2)     Bosrand met vochtige bodem (BR3)     Stenige, frisse bodem (ST2)     Stenige, vochtige bodem (ST3)          extra informatie               bladhoudend  bodembedekker  macho	groen    	 60 cm  	    60 cm  	    60 cm  	  0- 0
1622884887-16881	2957	Panicum virgatum 'Blue Tower'	zon              	fris                	aantal  : 4 tot 6 per m2  - alleen of in kleine toefen (A)  - groepen van 10 tot 24 stuks (C)	Bosrand met frisse bodem (BR2)     Gemengde boord met frisse bodem (GB2)     Open plaatsen met frisse bodem (OP2B)          extra informatie               snijbloem                                                                                              New	bruin    	150 cm  	   100 cm  	   100 cm  	  8-10
1622883144-12864	2958	Aster alpinus 'Happy End'	zon              	droog fris                	aantal  : 8 tot 12 per m2  - groepen van 10 tot 24 stuks (C)	Droge bodem met grind (GR1)     Frisse bodem met grind (GR2)     Ondiepe, droge bodem (OB1)     Ondiepe, frisse bodem (OB2)     Stenige, droge bodem (ST1)     Stenige, frisse bodem (ST2)          extra informatie               vlinderplant nectar  bijenplant	roze    	 20 cm  	    10 cm  	    10 cm  	  5- 6
1622881983-10603	2959	Alcea rugosa	zon              	droog fris                	aantal  : 3 tot 5 per m2  - alleen of in kleine toefen (A)  - groepen van 10 tot 24 stuks (C)	Open plaatsen met droge bodem (OP1)     Stenige, frisse bodem (ST2)          extra informatie               bijenplant	geel    	200 cm  	    30 cm  	    30 cm  	  5- 9
1622881409-9421	2960	Erythronium 'Pagoda'	half schaduw             	fris                	DRIFT	Bos en onder bomen met frisse bodem (B2)     Bosrand met frisse bodem (BR2)     Gemengde boord met frisse bodem (GB2)          extra informatie	geel    	 30 cm  	    15 cm  	    15 cm  	  4- 5
1622879725-5902	2961	Geranium sanguineum 'Elsbeth'	zon              	droog                	aantal  : 8 tot 12 per m2	Bosrand met droge bodem (BR1)     Open plaatsen met droge bodem (OP1)     Steppe (kalk) met droge bodem (SH1)     Stenige, droge bodem (ST1)          extra informatie       Licht uitzaaiend         bodembedekker	roze    	 40 cm  	    30 cm  	    30 cm  	  6- 9
1622884076-14964	2962	Lupinus 'Gallery Pink'	zon              	fris                	aantal  : 7 tot 10 per m2	Gemengde boord met frisse bodem (GB2)     Open plaatsen met frisse bodem (OP2B)          extra informatie       Licht uitzaaiend         Aromatisch   snijbloem	roze    	 50 cm  	    30 cm  	    30 cm  	  6- 7
1622879916-6308	2963	Boltonia decurrens JS® 'Warrior's Blush'	zon   half schaduw             	fris                	aantal  : 2 tot 4 per m2  - alleen of in kleine toefen (A)  - in kleine groepjes van 3 tot 10 stuks (B)	Bosrand met frisse bodem (BR2)     Gemengde boord met frisse bodem (GB2)     Open plaatsen met frisse bodem (OP2B)          extra informatie               snijbloem  vlinderplant nectar  bijenplant                                                                                                JS	roze    	150 cm  	    80 cm  	    80 cm  	  7- 9
1622880384-7388	2964	Molinia caerulea 'Heidezwerg'	zon   half schaduw             	fris vochtig                	aantal  : 6 tot 9 per m2  - in kleine groepjes van 3 tot 10 stuks (B)  - groepen van 10 tot 24 stuks (C)	Bosrand met frisse bodem (BR2)     Bosrand met vochtige bodem (BR3)     Heide (zuur) met frisse bodem (H2)     Heide (zuur) met vochtige bodem (H3)     Open plaatsen met frisse bodem (OP2)     Open plaatsen met vochtige bodem (OP3)          extra informatie               snijbloem  waardplant vlinders	bruin    	 50 cm  	    25 cm  	    25 cm  	  8-10
1622882547-11643	2965	Gunnera manicata  1J	zon              	vochtig             afdekken    	aantal  : 1 tot 1 per m2  - alleen of in kleine toefen (A)	moeraszone (O4)     ondiep water (O5)     Open plaatsen met vochtige bodem (OP3)          extra informatie	groen    	200 cm  	   300 cm  	   300 cm  	  8-10
1622884110-15029	2966	Lobelia cardinalis 'Queen Victoria'	zon              	fris vochtig             afdekken    	aantal  : 6 tot 9 per m2  - in kleine groepjes van 3 tot 10 stuks (B)  - groepen van 10 tot 24 stuks (C)	Gemengde boord met frisse bodem (GB2)     Gemengde boord met vochtige bodem (GB3)     Open plaatsen met frisse bodem (OP2B)     Open plaatsen met vochtige bodem (OP3B)          extra informatie               snijbloem	rood    	 80 cm  	    60 cm  	    60 cm  	  8- 9
1622879802-6061	2967	Thalictrum delavayi 'Hewitt's Double'	zon   half schaduw             	fris                	aantal  : 5 tot 7 per m2  - in kleine groepjes van 3 tot 10 stuks (B)  - groepen van 10 tot 24 stuks (C)	Bosrand met frisse bodem (BR2)     Gemengde boord met frisse bodem (GB2)          extra informatie               snijbloem  bijenplant	violet    	100 cm  	    50 cm  	    50 cm  	  6- 8
1622883443-13610	2968	Peltoboykinia watanabei	half schaduw  schaduw             	fris vochtig                	aantal  : 7 tot 9 per m2  - in kleine groepjes van 3 tot 10 stuks (B)  - groepen van 10 tot 24 stuks (C)	Bos en onder bomen met frisse bodem (B2)     Bos en onder bomen  met vochtige bodem (B3)     Bosrand met frisse bodem (BR2)     Bosrand met vochtige bodem (BR3)          extra informatie	wit    	 60 cm  	    30 cm  	    30 cm  	  6- 7
1622884440-15893	2969	Phyla nodiflora	zon              	droog fris             afdekken    	aantal  : 7 tot 10 per m2  - groepen van 10 tot 24 stuks (C)	Gemengde boord met droge bodem (GB1)     Gemengde boord met frisse bodem (GB2)     Open plaatsen met droge bodem (OP1)     Open plaatsen met frisse bodem (OP2)          extra informatie               vlinderplant nectar                                                                                              New	lila    	 10 cm  	     5 cm  	     5 cm  	  6- 9
1622884793-16676	2970	Delphinium 'Casa Blanca' (Belladonna-Group)	zon              	fris                	aantal  : 5 tot 7 per m2  - in kleine groepjes van 3 tot 10 stuks (B)  - groepen van 10 tot 24 stuks (C)	Gemengde boord met frisse bodem (GB2)     Open plaatsen met frisse bodem (OP2B)          extra informatie               snijbloem  bijenplant	wit    	100 cm  	    60 cm  	    60 cm  	  6- 7
1622879831-6107	2971	Anemone blanda 'Blue Shades'	zon   half schaduw             	               	DRIFT	Bos en onder bomen met droge bodem (B1)     Bos en onder bomen met frisse bodem (B2)     Bosrand met droge bodem (BR1)     Bosrand met frisse bodem (BR2)     Droge bodem met grind (GR1)     Frisse bodem met grind (GR2)     Stenige, droge bodem (ST1)     Stenige, frisse bodem (ST2)          extra informatie               bijenplant	blauw    	 10 cm  	     5 cm  	     5 cm  	  3- 3
1622881044-8736	2972	Aster ageratoides 'Asran'	zon   half schaduw             	droog fris                	aantal  : 6 tot 9 per m2  - in kleine groepjes van 3 tot 10 stuks (B)  - groepen van 10 tot 24 stuks (C)	Bosrand met droge bodem (BR1)     Bosrand met frisse bodem (BR2)     Open plaatsen met droge bodem (OP1)     Open plaatsen met frisse bodem (OP2)          extra informatie       Licht woekerend         bodembedekker  snijbloem  vlinderplant nectar  bijenplant    macho	blauw    	 50 cm  	    30 cm  	    30 cm  	  9-10
1622880499-7634	2973	Eragrostis trichodes 'Bend'	zon              	droog fris                	aantal  : 3 tot 5 per m2  - alleen of in kleine toefen (A)  - in kleine groepjes van 3 tot 10 stuks (B)	Open plaatsen met droge bodem (OP1)     Open plaatsen met droge bodem (OP1B)     Open plaatsen met frisse bodem (OP2)     Open plaatsen met frisse bodem (OP2B)          extra informatie               snijbloem	bruin    	 60 cm  	    40 cm  	    40 cm  	  8-10
1622880341-7269	2974	Muhlenbergia wrightii JS® 'Elegant'	zon              	droog fris                	aantal  : 4 tot 6 per m2  - in kleine groepjes van 3 tot 10 stuks (B)  - groepen van 10 tot 24 stuks (C)	Gemengde boord met droge bodem (GB1)     Gemengde boord met frisse bodem (GB2)     Open plaatsen met droge bodem (OP1)     Open plaatsen met droge bodem (OP1B)     Open plaatsen met frisse bodem (OP2)     Open plaatsen met frisse bodem (OP2B)          extra informatie               snijbloem                                                                                              JS	grijs    	 80 cm  	    60 cm  	    60 cm  	  9-11
1622881838-10354	2975	Dryopteris affinis	half schaduw  schaduw             	fris vochtig                	aantal  : 3 tot 5 per m2  - in kleine groepjes van 3 tot 10 stuks (B)  - groepen van 10 tot 24 stuks (C)	Bos en onder bomen met frisse bodem (B2)     Bos en onder bomen  met vochtige bodem (B3)     Bosrand met frisse bodem (BR2)     Bosrand met vochtige bodem (BR3)          extra informatie               bladhoudend	groen    	120 cm  	    80 cm  	    80 cm  	  0- 0
1622884593-16238	2976	Symphytum grandiflorum 'Wisley Blue'	zon   half schaduw             	fris                	aantal  : 6 tot 9 per m2  - groepen van 10 tot 24 stuks (C)  - werkelijk zeer grote vlakken (E)	Bos en onder bomen met frisse bodem (B2)     Bosrand met frisse bodem (BR2)          extra informatie               bodembedekker  bijenplant	blauw    	 35 cm  	    25 cm  	    25 cm  	  5- 6
1622879625-5685	2977	Smilacina racemosa	half schaduw  schaduw             	fris                	aantal  : 6 tot 9 per m2  - in kleine groepjes van 3 tot 10 stuks (B)  - groepen van 10 tot 24 stuks (C)	Bos en onder bomen met frisse bodem (B2)     Bosrand met frisse bodem (BR2)          extra informatie	wit    	 50 cm  	    50 cm  	    50 cm  	  5- 6
1622884067-14949	2978	Sedum (L) acre 'Aureum'	zon              	droog                	aantal  : 8 tot 12 per m2	Droge bodem met grind (GR1)     Heide (zuur) met droge bodem (H1)     Stenige, droge bodem (ST1)          extra informatie               bladhoudend  bodembedekker  vlinderplant nectar  bijenplant	geel    	 10 cm  	     5 cm  	     5 cm  	  6- 7
1622880127-6776	2979	Scabiosa caucasica 'Alba'	zon              	               	aantal  : 6 tot 9 per m2  - in kleine groepjes van 3 tot 10 stuks (B)  - grotere kolonies in lage beplanting (D)	Gemengde boord met frisse bodem (GB2)     Open plaatsen met frisse bodem (OP2B)          extra informatie               snijbloem  vlinderplant nectar  bijenplant	wit    	 70 cm  	    30 cm  	    30 cm  	  6- 9
1622884684-16430	2980	Carex howardii 'Phoenix Green'	half schaduw  schaduw             	fris vochtig                	aantal  : 6 tot 9 per m2  - in kleine groepjes van 3 tot 10 stuks (B)  - groepen van 10 tot 24 stuks (C)	Bos en onder bomen met frisse bodem (B2)     Bos en onder bomen  met vochtige bodem (B3)     Bosrand met frisse bodem (BR2)     Bosrand met vochtige bodem (BR3)     Open plaatsen met vochtige bodem (OP3)          extra informatie               bladhoudend  bodembedekker	groen    	 45 cm  	    30 cm  	    30 cm  	  4- 5
1622880582-7804	2981	Carex 'Kyoto'	half schaduw  schaduw             	fris vochtig                	aantal  : 6 tot 9 per m2  - in kleine groepjes van 3 tot 10 stuks (B)  - groepen van 10 tot 24 stuks (C)	Bos en onder bomen met frisse bodem (B2)     Bos en onder bomen  met vochtige bodem (B3)     Bosrand met frisse bodem (BR2)     Bosrand met vochtige bodem (BR3)     Open plaatsen met vochtige bodem (OP3)          extra informatie               bladhoudend  bodembedekker	groen    	 40 cm  	    40 cm  	    40 cm  	  3- 4
1622883688-14097	2982	Campanula garganica	zon   half schaduw             	fris                	aantal  : 8 tot 12 per m2	Muurbeplanting met frisse bodem (M2)     Stenige, frisse bodem (ST2)     Steenvoegen met frisse bodem (SV2)          extra informatie               bladhoudend  bodembedekker  bijenplant	blauw    	 15 cm  	     5 cm  	     5 cm  	  6- 8
1622881911-10478	2983	Rudbeckia fulgida 'Little Goldstar' PBR	zon              	fris vochtig                	aantal  : 6 tot 9 per m2  - groepen van 10 tot 24 stuks (C)	Bosrand met frisse bodem (BR2)     Bosrand met vochtige bodem (BR3)     Gemengde boord met frisse bodem (GB2)     Gemengde boord met vochtige bodem (GB3)     Open plaatsen met frisse bodem (OP2B)     Open plaatsen met vochtige bodem (OP3B)          extra informatie               snijbloem  bijenplant	geel    	 35 cm  	    15 cm  	    15 cm  	  7-10
1622883920-14649	2984	Coreopsis lanceolata 'Sterntaler'	zon              	fris                	aantal  : 7 tot 10 per m2	Gemengde boord met frisse bodem (GB2)     Stenige, frisse bodem (ST2)          extra informatie               snijbloem  bijenplant	geel    	 30 cm  	    15 cm  	    15 cm  	  6- 8
1622884264-15434	2985	Scleranthus biflorus	zon              	fris                	aantal  : 12 tot 15 per m2  - grotere kolonies in lage beplanting (D)	Stenige, frisse bodem (ST2)     Steenvoegen met frisse bodem (SV2)          extra informatie               bladhoudend  bodembedekker	groen    	  5 cm  	     5 cm  	     5 cm  	  6- 7
1622879887-6239	2986	Epimedium grandiflorum 'Red Beauty'	half schaduw  schaduw             	fris                	aantal  : 8 tot 12 per m2  - grotere kolonies in lage beplanting (D)	Bos en onder bomen met frisse bodem (B2)     Bosrand met frisse bodem (BR2)     Gemengde boord met frisse bodem (GB2)          extra informatie               bodembedekker	roze    	 25 cm  	    20 cm  	    20 cm  	  4- 5
1622881731-10135	2987	Heuchera villosa 'Autumn Bride'	zon   half schaduw             	fris                	aantal  : 6 tot 9 per m2  - in kleine groepjes van 3 tot 10 stuks (B)  - groepen van 10 tot 24 stuks (C)	Open plaatsen met frisse bodem (OP2B)     Stenige, frisse bodem (ST2)          extra informatie               bladhoudend  bodembedekker  snijbloem  bijenplant                                                                                                New	wit    	 60 cm  	    25 cm  	    25 cm  	  9-10
1622881136-8851	2988	Echium amoenum 'Red Feathers'	zon              	droog                	aantal  : 6 tot 9 per m2  - in kleine groepjes van 3 tot 10 stuks (B)  - groepen van 10 tot 24 stuks (C)	Open plaatsen met droge bodem (OP1B)     Stenige, droge bodem (ST1)          extra informatie       Licht uitzaaiend         snijbloem  vlinderplant nectar	rood    	 30 cm  	    10 cm  	    10 cm  	  6-10
1622883024-12525	2989	Geranium pratense BLACK BEAUTY ®	zon              	fris                	aantal  : 6 tot 9 per m2  - in kleine groepjes van 3 tot 10 stuks (B)  - grotere kolonies in lage beplanting (D)	Gemengde boord met frisse bodem (GB2)     Open plaatsen met frisse bodem (OP2B)          extra informatie	lila    	 45 cm  	    40 cm  	    40 cm  	  5- 8
1622881412-9427	2990	Phlox p. 'Lichtspel'	zon   half schaduw             	fris vochtig                	aantal  : 6 tot 9 per m2  - in kleine groepjes van 3 tot 10 stuks (B)  - groepen van 10 tot 24 stuks (C)	Gemengde boord met frisse bodem (GB2)     Gemengde boord met vochtige bodem (GB3)          extra informatie               Aromatisch   snijbloem	roze    	100 cm  	    60 cm  	    60 cm  	  7- 8
1622880160-6896	2991	Sedum (H) 'Matrona'	zon              	droog fris                	aantal  : 6 tot 9 per m2  - in kleine groepjes van 3 tot 10 stuks (B)  - groepen van 10 tot 24 stuks (C)	Gemengde boord met droge bodem (GB1)     Gemengde boord met frisse bodem (GB2)     Open plaatsen met droge bodem (OP1B)     Open plaatsen met frisse bodem (OP2B)     Stenige, droge bodem (ST1)     Stenige, frisse bodem (ST2)          extra informatie               snijbloem  vlinderplant nectar  bijenplant	roze    	 60 cm  	    30 cm  	    30 cm  	  8- 9
1622882117-10853	2992	Monarda bradburiana JS® 'Mocassins'	zon              	fris                	aantal  : 6 tot 9 per m2  - in kleine groepjes van 3 tot 10 stuks (B)  - groepen van 10 tot 24 stuks (C)	Open plaatsen met frisse bodem (OP2)          extra informatie               Aromatisch   vlinderplant nectar  macho                                                                                            JS	lila    	 25 cm  	    20 cm  	    20 cm  	  4- 7
1622883298-13243	2993	Sanguisorba 'Pink Brushes'	zon   half schaduw             	fris vochtig                	aantal  : 5 tot 7 per m2  - in kleine groepjes van 3 tot 10 stuks (B)  - groepen van 10 tot 24 stuks (C)	moeraszone (O4)     Open plaatsen met frisse bodem (OP2B)     Open plaatsen met vochtige bodem (OP3B)          extra informatie               snijbloem	roze    	140 cm  	    50 cm  	    50 cm  	  7- 9
1622880650-7918	2994	Alchemilla alpina	zon   half schaduw             	fris                	aantal  : 8 tot 12 per m2  - in kleine groepjes van 3 tot 10 stuks (B)	Rotstuin met frisse bodem (A2)     Frisse bodem met grind (GR2)     Ondiepe, frisse bodem (OB2)     Stenige, frisse bodem (ST2)          extra informatie               bijenplant	geel    	 15 cm  	    10 cm  	    10 cm  	  6- 9
